medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,emiscodecategoryid,original,alcohol_variable_sc_2,alcohol_category_second_screen,conflict,Consensuscode,alcohol_variable_final,AUD_final
6947471000006110,40,^ESCTAL694747,,Alcoholic liver cirrhosis,420054005,2912539019,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
5111821000006113,,^ESCTAL511182,,alcohol-induced pseudo-cushing syndrome,237738005,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
14103017,5000,F375,F375.00,Alcohol-induced polyneuropathy,7916009,14104011,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
7309201000006114,10,^ESCTAL730920,,Alcoholic pancreatitis,445507008,2951751017,31,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
353595019,3000,J6130,J613000,Alcoholic hepatic failure,235881000,353595019,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
353687012,2000,J6708,J670800,Alcohol-induced acute pancreatitis,235942001,353687012,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
3165681000006118,90,^ESCTAL316568,,Alcoholic liver disease,41309000,68909012,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
5992721000006114,,^ESCTES599272,,esophageal varices in alcoholic cirrhosis of the liver,309783001,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
353587018,20000,J617,J617.00,Alcoholic hepatitis,235875008,353587018,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
2626161000006111,300,^ESCTAL262616,,Alcoholic peripheral neuropathy,7916009,1234320010,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
2806381000006118,,^ESCTAL280638,,alcoholic myositis,19303008,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
2626141000006112,30,^ESCTAL262614,,Alcoholic polyneuropathy,7916009,14103017,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
353594015,2000,J6120,J612000,Alcoholic fibrosis and sclerosis of liver,235880004,353594015,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
353698013,10000,J6710,J671000,Alcohol-induced chronic pancreatitis,235952002,353698013,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
35314011,3000,C253,C253.00,Wernicke's encephalopathy,21007002,35314011,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
294668018,900,E0120,E012000,Chronic alcoholic brain syndrome,191475009,294668018,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm- mental,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
2806371000006116,,^ESCTAL280637,,alcoholic myopathic syndrome,19303008,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
6221531000006118,30,^ESCTAL622153,,Alcoholic cerebellar degeneration,361273006,478048011,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
451124014,800,J6170,J617000,Chronic alcoholic hepatitis,307757001,451124014,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
59951000006113,3000,C251-1,C251.11,Wernicke's encephalopathy,21007002,35314011,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
303399018,80000,J613,J613.00,Alcoholic liver damage,41309000,68906017,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
6947461000006115,10000,^ESCTAL694746,,Alcoholic cirrhosis,420054005,2576981019,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
4525015,30000,J153,J153.00,Alcoholic gastritis,2043009,4525015,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
401760017,1000,E012,E012.00,Other alcoholic dementia,281004,1225776018,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
397241000006119,400,Eu10y,Eu10y00,[X]Men & behav dis due to use alcohol: oth men & behav dis,29212009,48886010,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
2612491000006118,,^ESCTAL261249,,alcohol-induced psychotic disorder with hallucinations,7052005,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
3688931000006118,,^ESCTAL368893,,alcohol-induced persisting amnestic disorder,73097000,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,categorised as AUD
362961000006112,30,Eu105-2,Eu10512,[X]Alcoholic jealousy,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
294662017,300,E0111,E011100,Korsakov's alcoholic psychosis with peripheral neuritis,191471000,294662017,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
397791000006118,500,Eu106,Eu10600,Alcohol amnestic disorder,73097000,121405015,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
294675017,40,E01yz,E01yz00,Other alcoholic psychosis NOS,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
12730491000006117,,^ESCT1273049,,other alcoholic psychosis,623961000000108,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
2502971000006115,1000,^ESCTDE250297,,Dementia associated with alcoholism,281004,1557018,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,categorised as AUD
476361000006114,500,E011,E011.00,Alcohol amnestic syndrome,69482004,501300010,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
882221000006114,200,E01y-99,E01y.99,Other alcoholic psychoses,623961000000108,882221000006114,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
362951000006110,1000,Eu105-1,Eu10511,Alcoholic hallucinosis,7052005,1233279015,32,1,Chronic alcohol-related harm- mental,not usable,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,categorised as AUD
2612511000006112,,^ESCTAL261251,,alcohol induced hallucinosis,7052005,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
294676016,600,E01z,E01z.00,Alcoholic psychosis NOS,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
1975461000006114,100,EMISICD10|F1056,,"Mental & behav dis due to use alcohol: psychotic disorder, mixed",1975461000006105,1975461000006114,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
3630171000006111,20,^ESCTAL363017,,Alcoholic amnestic syndrome,69482004,501300010,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,categorised as AUD
362941000006113,2000,Eu107-1,Eu10711,[X]Alcoholic dementia NOS,281004,1225776018,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
11922951000006112,,^ESCT1192295,,alcoholic psychoses,42344001,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
476741000006111,4000,E01,E01..00,Alcohol-induced psychosis,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
397431000006111,1000,Eu10z,Eu10z00,[X]Ment & behav dis due use alcohol: unsp ment & behav dis,91388009,151411015,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
370961000006119,400,Eu107-2,Eu10712,[X]Chronic alcoholic brain syndrome,191475009,294668018,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
2502981000006117,,^ESCTAL250298,,alcohol-induced persisting dementia,281004,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,categorised as AUD
394681000006119,5000,Eu106-1,Eu10611,Korsakoff's psychosis,69482004,115434017,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
1976071000006119,30,EMISICD10|F1074,,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, other persisting cognitive impairment",1976071000006103,1976071000006119,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
346929012,6000,E012-1,E012.11,Alcoholic dementia,281004,1225776018,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
3630161000006116,20,^ESCTAM363016,,Amnesic syndrome due to alcohol,69482004,501299019,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
294672019,500,E015,E015.00,Alcoholic paranoia,191478006,294672019,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
362981000006119,900,Eu105-4,Eu10514,[X]Alcoholic psychosis NOS,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
3182591000006114,,^ESCTAL318259,,alcohol induced psychosis,42344001,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
397201000006116,100,Eu107,Eu10700,[X]Men & behav dis due alcoh: resid & late-onset psychot dis,42344001,70655012,32,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
4763141000006111,,^ESCTKO476314,,korsakov alcoholic psychosis with peripheral neuritis,191471000,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
362971000006117,200,Eu105-3,Eu10513,[X]Alcoholic paranoia,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
501294012,3000,E0112,E011200,Wernicke-Korsakov syndrome,69482004,501294012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
3630141000006115,,^ESCTKO363014,,korsakov syndrome - alcoholic,69482004,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
2549849017,1000,1B1c,1B1c.00,Alcohol induced hallucinations,417633001,2549849017,27,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
295765017,10000,Eu10,Eu10.00,Alcohol-induced organic mental disorder,29212009,48886010,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
1975291000006117,20,EMISICD10|F1052,,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly hallucinatory",1975291000006101,1975291000006117,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
294673012,3000,E01y,E01y.00,Other alcoholic psychosis,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
753331000006118,8000,E0110,E011000,Korsakov alcoholic psychosis,69482004,501296014,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
1975541000006111,20,EMISICD10|F1071,,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, personality or behaviour disorder",1975541000006107,1975541000006111,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
3182581000006111,,^ESCTAL318258,,alcoholic psychosis,42344001,,,,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
397621000006111,900,Eu105,Eu10500,Alcohol-induced psychosis,42344001,70655012,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
294664016,100,E011z,E011z00,Alcohol amnestic syndrome NOS,73097000,121405015,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm- mental,,,Chronic alcohol-related harm- mental,categorised as AUD
